HouseID,Step,Recommendation
2000916,0,1
2000916,1,1
2000916,2,1
2000916,3,1
2000916,4,1
2000916,5,1
2000916,6,0
2000916,7,0
2000916,8,0
2000916,9,0
2000916,10,0
2000916,11,0
2000916,12,1
2000916,13,1
2000916,14,0
2000916,15,1
2000916,16,0
2000916,17,1
2000916,18,0
2000916,19,1
2000916,20,0
2000916,21,0
2000916,22,1
2000916,23,1
2000916,24,1
2000916,25,1
2000916,26,1
2000916,27,0
2000916,28,0
2000916,29,0
2000916,30,0
2000916,31,0
2000916,32,0
2000916,33,0
2000916,34,0
2000916,35,0
2000916,36,1
2000916,37,0
2000916,38,0
2000916,39,0
2000916,40,1
2000916,41,0
2000916,42,0
2000916,43,1
2000916,44,0
2000916,45,1
2000916,46,1
2000916,47,1
2000916,48,1
2000916,49,1
2000916,50,1
2000916,51,1
2000916,52,1
2000916,53,1
2000916,54,1
2000916,55,0
2000916,56,0
2000916,57,0
2000916,58,0
2000916,59,0
2000916,60,0
2000916,61,1
2000916,62,1
2000916,63,1
2000916,64,1
2000916,65,1
2000916,66,1
2000916,67,0
2000916,68,0
2000916,69,0
2000916,70,0
2000916,71,1
2000916,72,0
2000916,73,1
2000916,74,0
2000916,75,0
2000916,76,0
2000916,77,0
2000916,78,1
2000916,79,0
2000916,80,0
2000916,81,0
2000916,82,0
2000916,83,0
2000916,84,0
2000916,85,0
2000916,86,0
2000916,87,0
2000916,88,1
2000916,89,1
2000916,90,0
2000916,91,0
2000916,92,0
2000916,93,1
2000916,94,0
2000916,95,0
2000916,96,1
2000916,97,1
2000916,98,1
2000916,99,0
2000916,100,0
2000916,101,0
2000916,102,0
2000916,103,0
2000916,104,0
2000916,105,0
2000916,106,1
2000916,107,0
2000916,108,1
2000916,109,1
2000916,110,0
2000916,111,1
2000916,112,0
2000916,113,0
2000916,114,1
2000916,115,0
2000916,116,0
2000916,117,1
2000916,118,1
2000916,119,1
2000916,120,1
2000916,121,1
2000916,122,0
2000916,123,0
2000916,124,0
2000916,125,1
2000916,126,1
2000916,127,0
2000916,128,0
2000916,129,0
2000916,130,0
2000916,131,0
2000916,132,1
2000916,133,0
2000916,134,0
2000916,135,1
2000916,136,1
2000916,137,1
2000916,138,1
2000916,139,1
2000916,140,0
2000916,141,0
2000916,142,1
2000916,143,1
2000916,144,1
2000916,145,0
2000916,146,1
2000916,147,0
2000916,148,0
2000916,149,1
2000916,150,1
2000916,151,0
2000916,152,0
2000916,153,0
2000916,154,1
2000916,155,0
2000916,156,1
2000916,157,0
2000916,158,1
2000916,159,1
2000916,160,1
2000916,161,0
2000916,162,0
2000916,163,0
2000916,164,1
2000916,165,0
2000916,166,1
2000916,167,1
2000916,168,1
2000916,169,1
2000916,170,1
2000916,171,0
2000916,172,0
2000916,173,1
2000916,174,0
2000916,175,0
2000916,176,0
2000916,177,0
2000916,178,0
2000916,179,0
2000916,180,0
2000916,181,0
2000916,182,0
2000916,183,1
2000916,184,1
2000916,185,0
2000916,186,1
2000916,187,1
2000916,188,0
2000916,189,0
2000916,190,1
2000916,191,1
2000916,192,1
2000916,193,1
2000916,194,1
2000916,195,1
2000916,196,1
2000916,197,1
2000916,198,1
2000916,199,0
2000916,200,0
2000916,201,0
2000916,202,0
2000916,203,0
2000916,204,1
2000916,205,0
2000916,206,0
2000916,207,1
2000916,208,1
2000916,209,1
2000916,210,0
2000916,211,0
2000916,212,0
2000916,213,0
2000916,214,1
2000916,215,1
2000916,216,1
2000916,217,1
2000916,218,0
2000916,219,0
2000916,220,0
2000916,221,1
2000916,222,1
2000916,223,0
2000916,224,0
2000916,225,0
2000916,226,0
2000916,227,0
2000916,228,0
2000916,229,0
2000916,230,0
2000916,231,0
2000916,232,0
2000916,233,1
2000916,234,0
2000916,235,0
2000916,236,0
2000916,237,0
2000916,238,1
2000916,239,0
2000916,240,0
2000916,241,0
2000916,242,0
2000916,243,0
2000916,244,0
2000916,245,1
2000916,246,1
2000916,247,0
2000916,248,0
2000916,249,0
2000916,250,1
2000916,251,0
2000916,252,0
2000916,253,0
2000916,254,0
2000916,255,0
2000916,256,0
2000916,257,0
2000916,258,1
2000916,259,0
2000916,260,1
2000916,261,1
2000916,262,1
2000916,263,1
2000916,264,1
2000916,265,1
2000916,266,1
2000916,267,1
2000916,268,0
2000916,269,1
2000916,270,1
2000916,271,0
2000916,272,0
2000916,273,0
2000916,274,1
2000916,275,0
2000916,276,0
2000916,277,0
2000916,278,0
2000916,279,0
2000916,280,0
2000916,281,0
2000916,282,0
2000916,283,0
2000916,284,1
2000916,285,1
2000916,286,1
2000916,287,1
2000916,288,1
2000916,289,1
2000916,290,1
2000916,291,0
2000916,292,0
2000916,293,1
2000916,294,1
2000916,295,0
2000916,296,0
2000916,297,0
2000916,298,1
2000916,299,0
2000916,300,1
2000916,301,0
2000916,302,0
2000916,303,1
2000916,304,0
